Date,ContestNumber,Word,NumberOfReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7OrMoreTriesX,word,count,,,
10/21/2022,489,grove,28637,2794,0,4,18,30,28,17,3,grove,15189493,,,
5/15/2022,330,yield,67115,4963,0,4,16,29,29,18,4,yield,15022494,,,
11/16/2022,515,baker,25576,2541,0,5,16,23,24,22,10,baker,14862470,,,
2/18/2022,244,dodge,265238,10220,1,3,15,29,27,19,7,dodge,14768509,,,
12/22/2022,551,excel,20490,2034,0,1,13,34,34,15,2,excel,14133468,,,
6/7/2022,353,flood,58991,4440,0,3,20,40,28,8,1,flood,13979267,,,
3/24/2022,278,chest,169066,9318,1,14,35,31,14,5,1,chest,13516414,,,
9/23/2022,461,glory,31509,2893,0,6,30,39,19,5,0,glory,13158826,,,
10/24/2022,492,fault,28947,2768,0,7,27,35,22,8,1,fault,13112664,,,
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1,robot,12656312,,,
7/14/2022,390,liver,40549,3388,0,4,16,26,25,20,8,liver,12139363,,,
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4,favor,11867822,,,
12/13/2022,542,spoke,24101,2224,0,6,31,38,19,5,0,spoke,11577917,,,
2/13/2022,239,robin,277471,3249,1,6,29,34,21,8,1,robin,11423944,,,
12/6/2022,535,amber,23509,2261,0,6,22,33,24,12,3,amber,11065507,,,
4/3/2022,288,fewer,124532,7931,0,2,10,24,32,26,6,fewer,10792786,,,
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6,proxy,10773043,,,
9/2/2022,440,charm,35724,3149,1,12,32,34,16,5,1,charm,10554644,,,
8/6/2022,413,alien,38841,3395,3,17,31,29,15,4,0,alien,10490554,,,
3/6/2022,260,cloth,218595,9911,1,8,33,34,17,7,1,cloth,9764137,,,
4/20/2022,305,cargo,102007,6796,0,5,20,34,27,12,2,cargo,9748668,,,
11/14/2022,513,maple,26536,2467,1,6,26,36,21,8,1,maple,9704551,,,
3/25/2022,279,depot,150197,8562,0,5,29,36,20,7,1,depot,9688338,,,
12/16/2022,545,probe,22853,2160,0,6,24,32,24,11,3,probe,9643801,,,
4/23/2022,308,olive,95562,6482,1,6,25,34,23,10,1,olive,9298184,,,
7/19/2022,395,angry,39667,3358,0,5,27,38,21,7,1,angry,9267505,,,
6/12/2022,358,float,56684,4323,1,12,30,32,18,6,1,float,8808655,,,
9/25/2022,463,admit,28994,2677,0,10,25,34,22,8,1,admit,8780656,,,
4/11/2022,296,squad,109828,7236,0,3,20,33,27,14,2,squad,8744772,,,
11/8/2022,507,spell,27213,2531,0,4,24,37,24,9,1,spell,8506049,,,
6/27/2022,373,retro,47986,3848,0,6,24,35,24,9,1,retro,8000179,,,
11/11/2022,510,medal,25993,2438,0,5,25,38,23,8,1,medal,7747036,,,
3/2/2022,256,nasty,257304,10813,1,7,26,31,21,11,2,nasty,7434847,,,
2/7/2022,233,elder,288228,13340,1,3,13,24,30,24,5,elder,7299470,,,
6/13/2022,359,donor,53802,4142,0,3,27,38,23,7,1,donor,7096675,,,
4/29/2022,314,trash,106652,7001,2,19,34,27,13,4,1,trash,7092806,,,
5/31/2022,346,manor,62768,4802,0,6,27,34,21,10,2,manor,7084688,,,
2/17/2022,243,shake,342003,12767,1,6,16,23,24,21,9,shake,6839319,,,
4/15/2022,300,shame,129991,8522,1,11,22,25,21,15,5,shame,6785296,,,
3/20/2022,274,renew,154987,8417,0,4,20,33,27,13,2,renew,6561081,,,
8/22/2022,429,merit,35888,3123,0,7,33,37,17,5,0,merit,6450895,,,
12/27/2022,556,condo,20879,2012,0,2,17,35,29,14,3,condo,6444848,,,
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1,panic,6396440,,,
9/20/2022,458,alike,31277,2843,0,6,20,33,27,12,2,alike,6220739,,,
5/6/2022,321,badge,76292,5482,0,4,20,35,26,12,2,badge,6145138,,,
5/9/2022,324,shine,88932,6146,1,14,32,30,17,6,1,shine,5881862,,,
7/29/2022,405,upset,37791,3213,0,5,30,38,20,6,1,upset,5544484,,,
4/21/2022,306,oxide,97955,6960,0,2,11,30,33,21,4,oxide,5321340,,,
11/20/2022,519,brave,24991,2396,1,6,17,27,27,18,5,brave,5221356,,,
6/22/2022,368,awful,47645,3861,0,5,21,33,27,12,2,awful,5217370,,,
12/10/2022,539,knock,21157,2041,0,3,18,43,27,8,1,knock,5196013,,,
10/20/2022,488,denim,28741,2769,0,5,29,40,20,5,0,denim,4737554,,,
2/10/2022,236,pause,304830,13480,1,8,26,32,21,10,2,pause,4606318,,,
2/25/2022,251,vivid,255907,11687,1,2,10,29,33,21,4,vivid,4479514,,,
12/15/2022,544,rival,22176,2127,0,7,27,35,22,8,1,rival,4298220,,,
5/5/2022,320,homer,85979,6313,0,3,16,26,24,19,12,homer,4281428,,,
8/23/2022,430,woven,33549,2933,0,2,13,32,32,17,3,woven,4248524,,,
6/17/2022,363,blown,54665,4251,0,6,23,35,26,10,1,blown,4229918,,,
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3,abbey,4224864,,,
11/24/2022,523,feast,27705,2725,5,13,25,27,19,10,2,feast,4166016,,,
6/3/2022,349,peach,65431,4957,1,13,38,32,13,3,0,peach,3938068,,,
3/30/2022,284,stove,158139,9318,0,5,16,24,27,21,6,stove,3914849,,,
7/30/2022,406,bluff,37353,3171,0,2,14,42,31,10,1,bluff,3906671,,,
10/17/2022,485,stein,31269,2965,1,12,34,32,16,5,1,stein,3893544,,,
2/26/2022,252,spill,248363,10087,1,5,26,34,22,10,2,spill,3890646,,,
8/30/2022,437,onset,33660,3009,0,4,29,40,21,6,1,onset,3858839,,,
12/19/2022,548,slate,26010,2422,6,14,33,27,13,5,1,slate,3813904,,,
5/21/2022,336,scrap,66814,4973,1,9,28,34,20,8,1,scrap,3757085,,,
11/3/2022,502,aloud,29554,2819,1,18,31,30,15,4,1,aloud,3743858,,,
6/11/2022,357,goose,51958,4087,0,2,12,28,32,21,5,goose,3739382,,,
12/21/2022,550,lunar,22180,2036,0,5,32,40,17,4,0,lunar,3611744,,,
5/7/2022,322,midst,74458,5233,0,3,25,39,24,9,1,midst,3381410,,,
4/17/2022,302,ample,106681,7008,0,4,20,35,27,11,2,ample,3187842,,,
7/15/2022,391,wedge,39234,3353,0,2,11,32,37,17,2,wedge,3162851,,,
5/20/2022,335,gamer,69884,5238,1,4,17,28,26,18,6,gamer,3144985,,,
12/17/2022,546,chord,22336,2088,0,7,39,38,13,3,0,chord,3123447,,,
8/25/2022,432,clown,36737,3175,1,8,29,36,20,6,1,clown,3081501,,,
4/5/2022,290,natal,121356,7702,0,2,14,32,32,17,3,natal,3010028,,,
4/8/2022,293,scare,141158,9010,1,12,23,26,21,13,4,scare,2972708,,,
11/10/2022,509,unite,27467,2575,1,11,31,33,18,5,1,unite,2888724,,,
9/21/2022,459,recap,31976,2900,0,5,30,35,21,8,1,recap,2861982,,,
3/1/2022,255,rupee,240137,10577,1,2,17,35,30,13,2,rupee,2831536,,,
6/26/2022,372,rusty,50450,3954,0,9,37,34,13,5,1,rusty,2780895,,,
10/3/2022,471,sting,32288,2969,1,10,30,33,18,8,2,sting,2773263,,,
4/6/2022,291,comma,117856,7560,0,2,13,33,33,17,3,comma,2711522,,,
4/16/2022,301,cheek,107987,7035,0,3,19,40,28,9,1,cheek,2681029,,,
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2,shire,2665081,,,
7/18/2022,394,flock,42574,3548,0,4,22,37,27,9,1,flock,2585098,,,
6/19/2022,365,loser,55359,4399,1,10,28,32,19,8,2,loser,2529180,,,
11/9/2022,508,rainy,28984,2678,1,16,38,31,11,3,1,rainy,2469088,,,
4/13/2022,298,chunk,123255,7835,1,4,29,42,18,5,1,chunk,2371231,,,
8/9/2022,416,patty,36223,3019,0,2,16,39,29,12,1,patty,2339693,,,
10/28/2022,496,sneak,27905,2636,0,7,28,36,21,7,1,sneak,2280877,,,
8/26/2022,433,irony,34716,3046,0,6,29,34,21,8,1,irony,2212193,,,
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2,crank,2185208,,,
2/2/2022,228,moist,361908,14205,3,13,32,29,16,7,1,moist,2140516,,,
3/16/2022,270,cater,217856,11234,1,7,19,22,19,18,15,cater,2092828,,,
11/12/2022,511,valet,24660,2356,0,4,22,38,25,9,1,valet,2052690,,,
7/11/2022,387,madam,40545,3430,0,3,13,35,34,14,2,madam,2023575,,,
3/15/2022,269,tease,202855,10024,1,16,32,30,16,6,1,tease,2019275,,,
2/15/2022,241,aroma,287836,10343,1,6,25,33,22,11,2,aroma,2018777,,,
4/9/2022,294,stair,134210,8537,2,21,36,26,11,4,1,stair,2012524,,,
8/1/2022,408,quart,36662,3303,0,5,20,33,27,13,2,quart,2002127,,,
9/1/2022,439,fungi,31903,2928,0,2,18,41,28,9,1,fungi,2000715,,,
8/5/2022,412,buggy,37350,3428,0,1,9,29,34,22,5,buggy,1955438,,,
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4,gorge,1950264,,,
4/18/2022,303,flair,112383,7341,1,8,30,36,18,6,1,flair,1924190,,,
3/26/2022,280,epoxy,149507,9376,0,2,13,31,33,18,3,epoxy,1908076,,,
7/27/2022,403,motto,38384,3285,0,1,11,36,36,14,1,motto,1894147,,,
10/23/2022,491,mummy,29279,3021,0,1,4,14,27,37,18,mummy,1878933,,,
7/17/2022,393,wacky,39611,3345,0,3,18,39,27,10,2,wacky,1861879,,,
12/11/2022,540,naive,21947,2075,1,7,24,32,24,11,1,naive,1848489,,,
10/12/2022,480,ionic,29151,2947,0,2,13,25,28,21,11,ionic,1808092,,,
12/3/2022,532,torso,23873,2260,0,4,35,36,17,6,1,torso,1769562,,,
5/23/2022,338,hinge,66431,4906,0,5,25,37,22,9,2,hinge,1758893,,,
7/3/2022,379,lilac,40486,3461,0,2,17,38,29,12,1,lilac,1738684,,,
10/30/2022,498,waltz,24672,2496,0,2,11,29,35,19,3,waltz,1723021,,,
6/8/2022,354,trait,61026,4607,0,6,22,35,24,11,2,trait,1705417,,,
12/29/2022,558,havoc,20001,1919,0,2,16,38,30,12,2,havoc,1692191,,,
8/24/2022,431,needy,33700,2927,0,2,21,41,26,9,1,needy,1636137,,,
6/16/2022,362,apron,53430,4112,0,7,30,38,19,5,1,apron,1617357,,,
7/13/2022,389,bland,46246,3727,0,7,31,38,18,4,0,bland,1606490,,,
10/16/2022,484,spade,30459,2854,1,8,29,36,19,6,1,spade,1567565,,,
8/4/2022,411,rhyme,37229,3336,0,4,22,39,25,8,1,rhyme,1530733,,,
11/21/2022,520,axiom,24288,2382,0,5,19,33,27,13,3,axiom,1495473,,,
6/23/2022,369,brink,53111,4118,0,4,22,41,24,7,1,brink,1484879,,,
8/14/2022,421,khaki,31652,2968,0,2,17,33,28,16,4,khaki,1481504,,,
3/10/2022,264,lapse,208884,9960,0,8,31,34,19,7,1,lapse,1459542,,,
2/28/2022,254,choke,251094,10521,1,8,30,36,18,6,1,choke,1448146,,,
2/22/2022,248,thorn,306356,11814,1,14,38,30,12,4,0,thorn,1421673,,,
5/29/2022,344,bayou,56839,4435,0,6,17,33,29,13,2,bayou,1397958,,,
11/29/2022,528,undue,23739,2316,0,3,19,35,29,13,2,undue,1377567,,,
2/27/2022,253,chant,250413,10438,1,9,33,33,16,7,1,chant,1374428,,,
6/30/2022,376,hutch,44212,3758,0,1,12,28,28,21,9,hutch,1373107,,,
3/23/2022,277,purge,156785,8555,1,4,22,35,26,11,2,purge,1366135,,,
1/28/2022,223,perky,296968,11148,1,4,17,30,27,17,4,perky,1360009,,,
2/11/2022,237,ulcer,278826,10631,1,4,18,30,28,16,3,ulcer,1336605,,,
12/18/2022,547,taper,22166,2108,0,8,28,30,20,11,3,taper,1294069,,,
8/7/2022,414,smear,36223,3190,0,2,16,39,29,12,2,smear,1289528,,,
12/31/2022,560,manly,20380,1899,0,2,17,37,29,12,2,manly,1260481,,,
5/10/2022,325,gecko,74412,5489,0,2,16,38,29,12,2,gecko,1230211,,,
11/25/2022,524,itchy,24197,2329,0,8,28,40,18,5,1,itchy,1181967,,,
9/12/2022,450,booze,29147,2883,0,1,7,27,38,23,4,booze,1178694,,,
12/4/2022,533,adore,25577,2398,2,17,32,29,15,5,1,adore,1176240,,,
7/28/2022,404,stomp,40650,3490,0,7,26,32,21,11,2,stomp,1168038,,,
7/1/2022,377,pinto,47248,3792,0,5,25,41,22,6,1,pinto,1108872,,,
12/8/2022,537,infer,21199,1863,0,3,19,33,26,14,3,infer,1104540,,,
10/7/2022,475,dandy,29026,2840,0,2,11,23,29,24,11,dandy,1098188,,,
11/6/2022,505,stale,31068,3013,2,19,30,27,15,6,2,stale,1065657,,,
7/10/2022,386,berth,41785,3494,0,7,24,35,24,9,1,berth,1056010,,,
4/19/2022,304,foyer,108899,8198,0,2,10,19,19,23,26,foyer,1042532,,,
9/10/2022,448,lofty,29237,2777,0,4,19,34,27,13,3,lofty,1018661,,,
4/4/2022,289,shawl,129651,7943,0,3,16,31,30,16,3,shawl,1011728,,,
9/14/2022,452,thyme,32142,2938,1,5,24,41,23,5,0,thyme,1007823,,,
12/9/2022,538,braid,23640,2165,0,10,36,35,14,3,0,braid,981945,,,
10/8/2022,476,vigor,26905,2642,0,2,15,35,31,14,2,vigor,977544,,,
1/24/2022,219,knoll,258038,8317,1,1,11,29,33,21,4,knoll,965905,,,
8/10/2022,417,cling,37654,3312,0,4,20,34,27,13,2,cling,946281,,,
4/24/2022,309,inert,97452,6743,0,7,27,34,22,9,1,inert,935898,,,
12/1/2022,530,eject,22628,2200,0,2,11,35,36,14,2,eject,935010,,,
5/27/2022,342,tiara,63846,4842,0,8,36,33,17,6,1,tiara,923335,,,
6/15/2022,361,primo,55989,4391,0,3,22,38,25,10,2,primo,912120,,,
5/30/2022,345,atoll,60969,4741,0,6,28,36,21,8,1,atoll,908471,,,
1/21/2022,216,prick,273727,7409,1,8,30,33,19,7,1,prick,891337,,,
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1,slump,878659,,,
6/6/2022,352,gloom,58478,4548,0,2,14,35,35,13,1,gloom,878018,,,
10/29/2022,497,libel,25156,2536,0,3,15,32,32,16,2,libel,866830,,,
9/17/2022,455,chute,33418,3073,0,11,37,36,12,3,0,chute,834005,,,
3/5/2022,259,brine,229895,10405,1,9,25,29,22,12,3,brine,816003,,,
7/6/2022,382,fluff,47344,4049,0,0,4,25,44,23,4,fluff,814535,,,
8/8/2022,415,unfit,35516,3187,0,3,24,38,25,9,1,unfit,814145,,,
10/22/2022,490,spiel,29084,2810,0,7,32,36,19,6,1,spiel,811922,,,
9/3/2022,441,gully,31191,2877,0,1,9,27,31,25,7,gully,800734,,,
3/3/2022,257,mourn,240018,10465,1,8,29,34,19,8,1,mourn,779010,,,
9/26/2022,464,brisk,31706,2884,0,5,23,38,24,7,1,brisk,774000,,,
11/19/2022,518,avert,24749,2400,0,7,26,35,22,9,1,avert,767435,,,
2/24/2022,250,bloke,250674,10405,1,6,21,32,25,12,2,bloke,766763,,,
5/11/2022,326,farce,79446,5688,0,9,26,32,21,9,1,farce,727546,,,
10/9/2022,477,howdy,28408,2668,0,2,13,32,32,17,4,howdy,726642,,,
1/26/2022,221,whack,302348,10163,1,4,22,37,24,10,2,whack,725891,,,
7/9/2022,385,stead,47094,3933,1,6,20,27,28,16,3,stead,724786,,,
8/19/2022,426,shrug,33965,2987,0,4,23,36,26,10,1,shrug,720506,,,
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3,wince,717079,,,
10/25/2022,493,foggy,28953,2817,0,2,13,35,32,15,3,foggy,704386,,,
2/23/2022,249,trove,277576,11411,1,5,16,24,25,22,8,trove,702353,,,
3/27/2022,281,nymph,165468,9935,1,2,18,44,26,26,9,nymph,697326,,,
7/4/2022,380,sever,42645,3591,0,2,13,27,29,21,7,sever,686306,,,
9/24/2022,462,grate,32777,3077,1,14,29,28,16,8,3,grate,672155,,,
12/30/2022,559,molar,21204,1973,0,4,21,38,26,9,1,molar,650262,,,
12/23/2022,552,aorta,21937,2112,0,7,26,35,20,10,3,aorta,641057,,,
5/16/2022,331,delve,68349,5179,0,2,14,32,33,16,2,delve,640909,,,
1/23/2022,218,crimp,269929,7630,1,5,28,38,20,7,1,crimp,640746,,,
11/18/2022,517,glyph,29208,2899,0,2,23,49,20,5,1,glyph,632257,,,
9/30/2022,468,scorn,31223,2859,0,8,31,35,20,6,1,scorn,622924,,,
9/11/2022,449,tibia,27887,2675,0,1,14,40,30,12,2,tibia,620778,,,
10/31/2022,499,aptly,26498,2572,0,3,26,41,23,7,1,aptly,598371,,,
6/10/2022,356,piety,55376,4324,0,4,25,41,22,7,1,piety,595389,,,
2/20/2022,246,tacit,273306,11094,1,4,21,32,26,14,3,tacit,594255,,,
5/28/2022,343,crept,60069,4562,0,4,27,38,22,7,1,crept,588735,,,
7/16/2022,392,roomy,38769,3280,0,2,17,41,28,10,2,roomy,574188,,,
8/28/2022,435,gauze,30214,2866,0,2,11,24,31,25,8,gauze,556178,,,
3/18/2022,272,saute,179830,9304,1,8,31,34,19,6,1,saute,546457,,,
3/31/2022,285,lowly,135219,8469,0,2,9,26,32,24,8,lowly,543486,,,
2/14/2022,240,cynic,261521,10343,1,6,25,33,22,11,2,cynic,525906,,,
10/4/2022,472,bough,32014,3060,0,3,17,35,28,13,3,bough,520067,,,
10/6/2022,474,sloth,32522,2987,1,10,38,34,13,3,0,sloth,519428,,,
4/7/2022,292,foray,117761,7575,0,2,14,31,31,19,4,foray,499808,,,
2/5/2022,231,aloft,319698,13708,1,4,22,36,25,11,2,aloft,497342,,,
6/9/2022,355,girth,60020,4665,0,6,23,33,23,12,3,girth,492919,,,
4/25/2022,310,askew,91548,6549,0,3,13,29,32,19,4,askew,473664,,,
4/30/2022,315,larva,77991,5749,0,2,10,25,35,23,4,larva,462298,,,
11/2/2022,501,inept,27670,2640,0,6,30,39,20,6,1,inept,458533,,,
10/19/2022,487,quirk,28322,2794,0,3,23,39,24,9,2,quirk,444069,,,
3/7/2022,261,hoard,218595,9823,1,9,30,34,19,7,1,hoard,433375,,,
7/26/2022,402,cinch,39171,3507,0,2,15,24,22,25,13,cinch,427247,,,
4/26/2022,311,heist,103153,6830,1,13,32,31,16,6,1,heist,419629,,,
10/2/2022,470,twine,30088,2775,0,6,28,40,20,5,1,twine,415457,,,
7/7/2022,383,agape,43407,3671,0,2,18,36,27,15,3,agape,414471,,,
5/18/2022,333,scour,73933,5544,0,8,34,35,17,5,1,scour,411478,,,
7/31/2022,407,cramp,39250,3369,1,8,26,33,19,10,2,cramp,402123,,,
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2,egret,394773,,,
11/1/2022,500,piney,27502,3667,0,1,14,37,33,14,2,piney,394672,,,
5/25/2022,340,vouch,62723,4835,0,2,9,25,33,24,6,vouch,388963,,,
12/5/2022,534,woken,23153,2200,0,2,10,25,36,23,4,woken,364304,,,
9/19/2022,457,trice,35050,3430,0,5,24,25,18,17,11,trice,354532,,,
5/1/2022,316,forgo,77658,5699,0,1,9,26,37,23,3,forgo,340426,,,
12/24/2022,553,poise,20281,1911,2,11,34,32,15,6,1,poise,339263,,,
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5,tangy,333638,,,
9/5/2022,443,whoop,32733,2970,0,1,16,47,29,7,1,whoop,331753,,,
6/18/2022,364,cacao,47205,4101,0,1,9,27,36,23,4,cacao,331714,,,
9/27/2022,465,soggy,30985,2888,0,2,18,38,28,11,2,soggy,331525,,,
4/14/2022,299,mince,113448,7356,0,6,24,35,24,10,1,mince,328039,,,
11/13/2022,512,inane,25085,2515,0,8,25,30,21,13,3,inane,319343,,,
7/23/2022,399,midge,36769,3111,0,2,18,39,28,10,2,midge,308737,,,
3/14/2022,268,smelt,185406,9373,0,5,19,33,28,13,2,smelt,301053,,,
9/6/2022,444,taunt,32734,3022,0,4,19,27,21,16,13,taunt,295148,,,
7/21/2022,397,aphid,39086,3367,0,6,24,36,23,9,2,aphid,295138,,,
6/2/2022,348,showy,61278,4770,0,2,16,37,30,13,2,showy,294798,,,
7/20/2022,396,trite,42237,3685,0,4,14,22,22,23,15,trite,287494,,,
2/3/2022,229,shard,358176,14609,1,7,22,28,25,14,4,shard,287428,,,
8/13/2022,420,hunky,35276,3185,0,1,11,33,25,22,7,hunky,279599,,,
5/13/2022,328,tipsy,77585,5522,0,6,33,38,17,5,1,tipsy,279464,,,
6/4/2022,350,froth,58263,4432,0,5,22,35,25,11,1,froth,278469,,,
6/24/2022,370,smite,50617,3991,0,6,23,35,24,11,2,smite,270393,,,
2/4/2022,230,pleat,359679,14813,1,10,28,31,19,9,2,pleat,266830,,,
4/1/2022,286,snout,144648,8913,1,4,19,27,26,18,5,snout,258314,,,
5/12/2022,327,slung,75673,5419,0,2,16,37,31,13,2,slung,253265,,,
