middle3Letters,last4,first3Letters,last2Letters,first2Letters,last3Letters,percentHardMode,Date,ContestNumber,Word,ReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel,commonTri,CommonTrigrams
win,wine,twi,ne,tw,ine,0.092229,2022-10-02,470,twine,30088,2775,0,6,28,40,20,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.072423,0.016713,0.056267,0.049025,0.102507,False,False,True,False,True,0,
rep,rept,cre,pt,cr,ept,0.075946,2022-05-28,343,crept,60069,4562,0,4,27,38,22,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.039554,0.074652,0.102507,0.035655,0.072423,False,False,True,False,False,0,
nep,nept,ine,pt,in,ept,0.095410,2022-11-02,501,inept,27670,2640,0,6,30,39,20,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.056267,0.049025,0.102507,0.035655,0.072423,True,False,True,False,False,0,
ooz,ooze,boo,ze,bo,oze,0.098912,2022-09-12,450,booze,29147,2883,0,1,7,27,38,23,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.017270,0.074095,0.074095,0.002786,0.102507,False,True,True,False,True,0,
rys,ryst,try,st,tr,yst,0.085037,2022-07-22,398,tryst,43099,3665,0,3,26,41,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.072423,0.074652,0.033983,0.049025,0.072423,False,False,True,False,False,0,
are,arer,par,er,pa,rer,0.110697,2022-09-16,454,parer,37309,4130,0,0,4,11,15,22,48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.088579,0.074652,0.102507,0.074652,False,True,False,True,False,0,
anl,anly,man,ly,ma,nly,0.093180,2022-12-31,560,manly,20380,1899,0,2,17,37,29,12,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.030641,0.088579,0.049025,0.062396,0.033983,False,True,False,False,True,0,
ovi,ovie,mov,ie,mo,vie,0.052327,2022-03-17,271,movie,169071,8847,1,5,18,30,26,16,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.030641,0.074095,0.013928,0.056267,0.102507,False,True,False,True,True,0,
ram,rame,fra,me,fr,ame,0.045709,2022-02-08,234,frame,336236,15369,1,10,20,24,24,17,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.018384,0.074652,0.088579,0.030641,0.102507,False,False,True,False,True,0,
ham,hame,sha,me,sh,ame,0.065558,2022-04-15,300,shame,129991,8522,1,11,22,25,21,15,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.038997,0.088579,0.030641,0.102507,False,False,True,False,True,0,
hei,heir,the,ir,th,eir,0.052984,2022-03-21,275,their,173636,9200,2,14,36,30,13,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.102507,0.056267,0.074652,False,False,True,True,False,0,
nfi,nfit,unf,it,un,fit,0.089734,2022-08-08,415,unfit,35516,3187,0,3,24,38,25,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.035655,0.049025,0.018384,0.056267,0.072423,True,False,False,True,False,0,
uer,uery,que,ry,qu,ery,0.020927,2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0.002786,0.035655,0.102507,0.074652,0.033983,False,True,True,False,True,0,
arg,argo,car,go,ca,rgo,0.066623,2022-04-20,305,cargo,102007,6796,0,5,20,34,27,12,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.039554,0.088579,0.074652,0.028412,0.074095,False,True,False,False,True,0,
org,orgo,for,go,fo,rgo,0.073386,2022-05-01,316,forgo,77658,5699,0,1,9,26,37,23,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.018384,0.074095,0.074652,0.028412,0.074095,False,True,False,False,True,0,
eer,eery,lee,ry,le,ery,0.092701,2022-09-07,445,leery,30992,2873,0,3,17,37,28,12,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.062396,0.102507,0.102507,0.074652,0.033983,False,True,True,False,True,0,
eas,east,fea,st,fe,ast,0.098358,2022-11-24,523,feast,27705,2725,5,13,25,27,19,10,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.018384,0.102507,0.088579,0.049025,0.072423,False,True,True,False,False,0,
ras,rash,tra,sh,tr,ash,0.065643,2022-04-29,314,trash,106652,7001,2,19,34,27,13,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.072423,0.074652,0.088579,0.049025,0.038997,False,False,True,False,False,0,
ois,oise,poi,se,po,ise,0.094226,2022-12-24,553,poise,20281,1911,2,11,34,32,15,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.035655,0.074095,0.056267,0.049025,0.102507,False,True,True,False,True,0,
cal,cald,sca,ld,sc,ald,0.092824,2022-09-29,467,scald,30477,2829,0,4,23,36,24,11,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.039554,0.088579,0.062396,0.030084,False,False,True,False,False,0,
tei,tein,ste,in,st,ein,0.094822,2022-10-17,485,stein,31269,2965,1,12,34,32,16,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.102507,0.056267,0.049025,False,False,True,True,False,0,
hor,hord,cho,rd,ch,ord,0.093481,2022-12-17,546,chord,22336,2088,0,7,39,38,13,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.039554,0.038997,0.074095,0.074652,0.030084,False,False,True,False,False,0,
oda,oday,tod,ay,to,day,0.048701,2022-03-12,266,today,192049,9353,1,7,29,35,20,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.072423,0.074095,0.030084,0.088579,0.033983,False,True,False,True,True,0,
rue,ruel,gru,el,gr,uel,0.087936,2022-08-16,423,gruel,35105,3087,0,3,19,39,29,9,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.028412,0.074652,0.035655,0.102507,0.062396,False,False,True,True,False,0,
wan,wang,twa,ng,tw,ang,0.090789,2022-08-18,425,twang,34938,3172,0,3,22,43,25,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.072423,0.016713,0.088579,0.049025,0.028412,False,False,True,False,False,0,
ron,rony,iro,ny,ir,ony,0.087741,2022-08-26,433,irony,34716,3046,0,6,29,34,21,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0.056267,0.074652,0.074095,0.049025,0.033983,True,False,True,False,True,0,
ack,acky,wac,ky,wa,cky,0.084446,2022-07-17,393,wacky,39611,3345,0,3,18,39,27,10,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.016713,0.088579,0.039554,0.019499,0.033983,False,True,False,False,True,0,
xce,xcel,exc,el,ex,cel,0.099268,2022-12-22,551,excel,20490,2034,0,1,13,34,34,15,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.102507,0.003900,0.039554,0.102507,0.062396,True,False,False,True,False,0,
her,here,the,re,th,ere,0.092117,2022-11-17,516,there,27465,2530,0,14,35,33,14,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.102507,0.074652,0.102507,False,False,True,False,True,0,
hot,hoto,pho,to,ph,oto,0.093853,2022-11-04,503,photo,27330,2565,0,5,34,43,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.038997,0.074095,0.072423,0.074095,False,False,True,False,True,0,
ppl,pply,app,ly,ap,ply,0.093997,2022-12-12,541,apply,22873,2150,0,5,28,38,22,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.088579,0.035655,0.035655,0.062396,0.033983,True,False,False,False,True,0,
ott,otto,mot,to,mo,tto,0.085583,2022-07-27,403,motto,38384,3285,0,1,11,36,36,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.030641,0.074095,0.072423,0.072423,0.074095,False,True,False,False,True,0,
lum,lump,slu,mp,sl,ump,0.016892,2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.049025,0.062396,0.035655,0.030641,0.035655,False,False,True,False,False,0,
lok,loke,blo,ke,bl,oke,0.041508,2022-02-24,250,bloke,250674,10405,1,6,21,32,25,12,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.017270,0.062396,0.074095,0.019499,0.102507,False,False,True,False,True,0,
hok,hoke,cho,ke,ch,oke,0.041901,2022-02-28,254,choke,251094,10521,1,8,30,36,18,6,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.038997,0.074095,0.019499,0.102507,False,False,True,False,True,0,
pok,poke,spo,ke,sp,oke,0.092278,2022-12-13,542,spoke,24101,2224,0,6,31,38,19,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.074095,0.019499,0.102507,False,False,True,False,True,0,
lou,loud,alo,ud,al,oud,0.095385,2022-11-03,502,aloud,29554,2819,1,18,31,30,15,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.088579,0.062396,0.074095,0.035655,0.030084,True,False,True,True,False,0,
npu,nput,inp,ut,in,put,0.078243,2022-06-20,366,input,50484,3950,0,5,30,38,21,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.056267,0.049025,0.035655,0.035655,0.072423,True,False,False,True,False,0,
lbu,lbum,alb,um,al,bum,0.075876,2022-05-24,339,album,63380,4809,0,5,26,35,24,9,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.088579,0.062396,0.017270,0.035655,0.030641,True,False,False,True,False,0,
nfe,nfer,inf,er,in,fer,0.087882,2022-12-08,537,infer,21199,1863,0,3,19,33,26,14,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.056267,0.049025,0.018384,0.102507,0.074652,True,False,False,True,False,0,
tom,tomp,sto,mp,st,omp,0.085855,2022-07-28,404,stomp,40650,3490,0,7,26,32,21,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.074095,0.030641,0.035655,False,False,True,False,False,0,
org,orge,gor,ge,go,rge,0.020912,2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.028412,0.074095,0.074652,0.028412,0.102507,False,True,False,False,True,0,
hac,hack,wha,ck,wh,ack,0.033614,2022-01-26,221,whack,302348,10163,1,4,22,37,24,10,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.016713,0.038997,0.088579,0.039554,0.019499,False,False,True,False,False,0,
urg,urge,pur,ge,pu,rge,0.054565,2022-03-23,277,purge,156785,8555,1,4,22,35,26,11,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.035655,0.035655,0.074652,0.028412,0.102507,False,True,False,False,True,0,
lac,lack,bla,ck,bl,ack,0.062531,2022-04-10,295,black,126241,7894,1,10,31,34,18,6,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017270,0.062396,0.088579,0.039554,0.019499,False,False,True,False,False,0,
aul,aulk,cau,lk,ca,ulk,0.037070,2022-02-16,242,caulk,289721,10740,1,4,20,31,26,15,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.039554,0.088579,0.035655,0.062396,0.019499,False,True,True,False,False,0,
abe,abel,lab,el,la,bel,0.089947,2022-08-12,419,label,34198,3076,0,4,18,32,29,15,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062396,0.088579,0.017270,0.102507,0.062396,False,True,False,True,False,0,
ibe,ibel,lib,el,li,bel,0.100811,2022-10-29,497,libel,25156,2536,0,3,15,32,32,16,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062396,0.056267,0.017270,0.102507,0.062396,False,True,False,True,False,0,
lea,leat,ple,at,pl,eat,0.041184,2022-02-04,230,pleat,359679,14813,1,10,28,31,19,9,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.062396,0.102507,0.088579,0.072423,False,False,True,True,False,0,
ata,atal,nat,al,na,tal,0.063466,2022-04-05,290,natal,121356,7702,0,2,14,32,32,17,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.049025,0.088579,0.072423,0.088579,0.062396,False,True,False,True,False,0,
eta,etal,met,al,me,tal,0.072243,2022-05-14,329,metal,73225,5290,1,10,31,34,18,7,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.030641,0.102507,0.072423,0.088579,0.062396,False,True,False,True,False,0,
rea,reat,tre,at,tr,eat,0.084952,2022-08-20,427,treat,38245,3249,1,22,32,26,14,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.074652,0.102507,0.088579,0.072423,False,False,True,True,False,0,
mel,melt,sme,lt,sm,elt,0.050554,2022-03-14,268,smelt,185406,9373,0,5,19,33,28,13,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.030641,0.102507,0.062396,0.072423,False,False,True,False,False,0,
hym,hyme,rhy,me,rh,yme,0.089608,2022-08-04,411,rhyme,37229,3336,0,4,22,39,25,8,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.074652,0.038997,0.033983,0.030641,0.102507,False,False,True,False,True,0,
hym,hyme,thy,me,th,yme,0.091407,2022-09-14,452,thyme,32142,2938,1,5,24,41,23,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.072423,0.038997,0.033983,0.030641,0.102507,False,False,True,False,True,0,
hem,heme,the,me,th,eme,0.090420,2022-09-09,447,theme,32172,2909,0,8,29,40,18,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.072423,0.038997,0.102507,0.030641,0.102507,False,False,True,False,True,0,
the,ther,oth,er,ot,her,0.039059,2022-02-21,247,other,278731,10887,1,9,26,30,21,10,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.074095,0.072423,0.038997,0.102507,0.074652,True,False,False,True,False,0,
mpl,mple,amp,le,am,ple,0.065691,2022-04-17,302,ample,106681,7008,0,4,20,35,27,11,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.088579,0.030641,0.035655,0.062396,0.102507,True,False,False,False,True,0,
apl,aple,map,le,ma,ple,0.092968,2022-11-14,513,maple,26536,2467,1,6,26,36,21,8,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030641,0.088579,0.035655,0.062396,0.102507,False,True,False,False,True,0,
upe,upee,rup,ee,ru,pee,0.044046,2022-03-01,255,rupee,240137,10577,1,2,17,35,30,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.074652,0.035655,0.035655,0.102507,0.102507,False,True,False,True,True,0,
mbe,mber,amb,er,am,ber,0.096176,2022-12-06,535,amber,23509,2261,0,6,22,33,24,12,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.088579,0.030641,0.017270,0.102507,0.074652,True,False,False,True,False,0,
los,losh,slo,sh,sl,osh,0.054988,2022-03-22,276,slosh,160161,8807,0,2,19,36,27,13,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.062396,0.074095,0.049025,0.038997,False,False,True,False,False,0,
ann,anny,can,ny,ca,nny,0.072479,2022-05-08,323,canny,72518,5256,0,2,10,30,34,20,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.039554,0.088579,0.049025,0.049025,0.033983,False,True,False,False,True,0,
dmi,dmit,adm,it,ad,mit,0.092329,2022-09-25,463,admit,28994,2677,0,10,25,34,22,8,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.088579,0.030084,0.030641,0.056267,0.072423,True,False,False,True,False,0,
aïv,aïve,naï,ve,na,ïve,0.094546,2022-12-11,540,naïve,21947,2075,1,7,24,32,24,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.049025,0.088579,0.000557,0.013928,0.102507,False,True,False,False,True,0,
hoo,hoop,who,op,wh,oop,0.090734,2022-09-05,443,whoop,32733,2970,0,1,16,47,29,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.016713,0.038997,0.074095,0.074095,0.035655,False,False,True,True,False,0,
ocu,ocus,foc,us,fo,cus,0.049806,2022-03-13,267,focus,179436,8937,1,4,23,36,24,10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.018384,0.074095,0.039554,0.035655,0.049025,False,True,False,True,False,0,
alt,altz,wal,tz,wa,ltz,0.101167,2022-10-30,498,waltz,24672,2496,0,2,11,29,35,19,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.016713,0.088579,0.062396,0.072423,0.002786,False,True,False,False,False,0,
loa,loat,flo,at,fl,oat,0.076265,2022-06-12,358,float,56684,4323,1,12,30,32,18,6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.018384,0.062396,0.074095,0.088579,0.072423,False,False,True,True,False,0,
loa,loat,glo,at,gl,oat,0.078625,2022-06-21,367,gloat,53342,4194,0,8,21,31,26,12,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.028412,0.062396,0.074095,0.088579,0.072423,False,False,True,True,False,0,
ang,angy,tan,gy,ta,ngy,0.023513,2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.072423,0.088579,0.049025,0.028412,0.033983,False,True,False,False,True,0,
igh,ight,lig,ht,li,ght,0.039105,2022-01-31,226,light,341314,13347,1,10,25,27,19,12,5,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.062396,0.056267,0.028412,0.038997,0.072423,False,True,False,False,False,0,
igh,ight,nig,ht,ni,ght,0.082498,2022-07-12,388,night,46910,3870,1,8,27,27,17,13,7,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.049025,0.056267,0.028412,0.038997,0.072423,False,True,False,False,False,0,
app,appy,hap,py,ha,ppy,0.093470,2022-11-27,526,happy,25206,2356,0,6,28,39,19,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.038997,0.088579,0.035655,0.035655,0.033983,False,True,False,False,True,0,
cou,cour,sco,ur,sc,our,0.074987,2022-05-18,333,scour,73933,5544,0,8,34,35,17,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.049025,0.039554,0.074095,0.035655,0.074652,False,False,True,True,False,0,
pad,pade,spa,de,sp,ade,0.093700,2022-10-16,484,spade,30459,2854,1,8,29,36,19,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.088579,0.030084,0.102507,False,False,True,False,True,0,
oft,ofty,lof,ty,lo,fty,0.094982,2022-09-10,448,lofty,29237,2777,0,4,19,34,27,13,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.062396,0.074095,0.018384,0.072423,0.033983,False,True,False,False,True,0,
wfu,wful,awf,ul,aw,ful,0.081037,2022-06-22,368,awful,47645,3861,0,5,21,33,27,12,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.088579,0.016713,0.018384,0.035655,0.062396,True,False,False,True,False,0,
ngr,ngry,ang,ry,an,gry,0.084655,2022-07-19,395,angry,39667,3358,0,5,27,38,21,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.088579,0.049025,0.028412,0.074652,0.033983,True,False,False,False,True,0,
eas,ease,tea,se,te,ase,0.049415,2022-03-15,269,tease,202855,10024,1,16,32,30,16,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.072423,0.102507,0.088579,0.049025,0.102507,False,True,True,False,True,0,
