SmallerContest,ReportedResults,PDFPredict,ActualPredict,Difference,Total Difference,Total Results,,,,,,hasDup,numbUnique,percentHardMode,Date,SmallerContest,Word,ContestNumber,,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel
321,26663,0.000470173,18414.23399,8248.766012,,,,,,,,0,5,0.091925,11/23/2022,,drive,522,,2451,1,12,32,30,18,6,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.030084,0.074652,0.056267,0.013928,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
320,27437,0.000474277,18574.95106,8862.048944,,,,,,,,0,5,0.092357,11/22/2022,,prime,521,,2534,1,10,26,32,21,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.056267,0.030641,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
319,24288,0.000478417,18737.10933,5550.890668,,,,,,,,0,5,0.098073,11/21/2022,,axiom,520,,2382,0,5,19,33,27,13,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.088579,0.0039,0.056267,0.074095,0.030641,TRUE,FALSE,TRUE,TRUE,FALSE
318,24991,0.000482595,18900.72223,6090.277773,,,,,,,,0,5,0.095875,11/20/2022,,brave,519,,2396,1,6,17,27,27,18,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.01727,0.074652,0.088579,0.013928,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
317,24749,0.00048681,19065.80328,5683.196719,,,,,,,,0,5,0.096974,11/19/2022,,avert,518,,2400,0,7,26,35,22,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.088579,0.013928,0.102507,0.074652,0.072423,TRUE,FALSE,TRUE,FALSE,FALSE
316,29208,0.000491063,19232.36617,9975.633831,,,,,,,,0,5,0.099254,11/18/2022,,glyph,517,,2899,0,2,23,49,20,5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.028412,0.062396,0.033983,0.035655,0.038997,FALSE,FALSE,TRUE,FALSE,FALSE
315,27465,0.000495354,19400.4247,8064.575298,,,,,,,,1,4,0.092117,11/17/2022,,there,516,,2530,0,14,35,33,14,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.102507,0.074652,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
314,25576,0.000499684,19569.99282,6006.007178,,,,,,,,0,5,0.099351,11/16/2022,,baker,515,,2541,0,5,16,23,24,22,10,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01727,0.088579,0.019499,0.102507,0.074652,FALSE,TRUE,FALSE,TRUE,FALSE
313,27475,0.000504052,19741.08461,7733.915387,,,,,,,,0,5,0.096451,11/15/2022,,snarl,514,,2650,0,5,21,31,24,15,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.049025,0.049025,0.088579,0.074652,0.062396,FALSE,FALSE,TRUE,FALSE,FALSE
312,26536,0.00050846,19913.71429,6622.285705,,,,,,,,0,5,0.092968,11/14/2022,,maple,513,,2467,1,6,26,36,21,8,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.030641,0.088579,0.035655,0.062396,0.102507,FALSE,TRUE,FALSE,FALSE,TRUE
311,25085,0.000512907,20087.89623,4997.103772,,,,,,,,1,4,0.100259,11/13/2022,,inane,512,,2515,0,8,25,30,21,13,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.056267,0.049025,0.088579,0.049025,0.102507,TRUE,FALSE,TRUE,FALSE,TRUE
310,24660,0.000517395,20263.64491,4396.355085,,,,,,,,0,5,0.095539,11/12/2022,,valet,511,,2356,0,4,22,38,25,9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.013928,0.088579,0.062396,0.102507,0.072423,FALSE,TRUE,FALSE,TRUE,FALSE
309,25993,0.000521923,20440.975,5552.024999,,,,,,,,0,5,0.093794,11/11/2022,,medal,510,,2438,0,5,25,38,23,8,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030641,0.102507,0.030084,0.088579,0.062396,FALSE,TRUE,FALSE,TRUE,FALSE
308,27467,0.000526491,20619.90128,6847.098724,,,,,,,,0,5,0.093749,11/10/2022,,unite,509,,2575,1,11,31,33,18,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.035655,0.049025,0.056267,0.072423,0.102507,TRUE,FALSE,TRUE,FALSE,TRUE
307,28984,0.000531101,20800.43868,8183.561323,,,,,,,,0,5,0.092396,11/9/2022,,rainy,508,,2678,1,16,38,31,11,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.074652,0.088579,0.056267,0.049025,0.033983,FALSE,TRUE,TRUE,FALSE,TRUE
306,27213,0.000535752,20982.60229,6230.397713,,,,,,,,1,4,0.093007,11/8/2022,,spell,507,,2531,0,4,24,37,24,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.102507,0.062396,0.062396,FALSE,FALSE,TRUE,FALSE,FALSE
305,26096,0.000540445,21166.40734,4929.59266,,,,,,,,0,5,0.093463,11/7/2022,,begin,506,,2439,0,6,26,36,23,7,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01727,0.102507,0.028412,0.056267,0.049025,FALSE,TRUE,FALSE,TRUE,FALSE
304,31068,0.000545181,21351.86922,9716.130779,,,,,,,,0,5,0.096981,11/6/2022,,stale,505,,3013,2,19,30,27,15,6,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.088579,0.062396,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
303,29743,0.000549959,21539.00347,8203.996535,,,,,,,,0,5,0.092492,11/5/2022,,dream,504,,2751,5,14,31,29,15,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.030084,0.074652,0.102507,0.088579,0.030641,FALSE,FALSE,TRUE,TRUE,FALSE
302,27330,0.00055478,21727.82576,5602.174235,,,,,,,,1,4,0.093853,11/4/2022,,photo,503,,2565,0,5,34,43,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.035655,0.038997,0.074095,0.072423,0.074095,FALSE,FALSE,TRUE,FALSE,TRUE
301,29554,0.000559645,21918.35197,7635.648034,,,,,,,,0,5,0.095385,11/3/2022,,aloud,502,,2819,1,18,31,30,15,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.088579,0.062396,0.074095,0.035655,0.030084,TRUE,FALSE,TRUE,TRUE,FALSE
300,27670,0.000564553,22110.59807,5559.401925,,,,,,,,0,5,0.09541,11/2/2022,,inept,501,,2640,0,6,30,39,20,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.056267,0.049025,0.102507,0.035655,0.072423,TRUE,FALSE,TRUE,FALSE,FALSE
299,27502,0.000569506,22304.58025,5197.419746,,,,,,,,0,5,0.133336,11/1/2022,,piney,500,,3667,0,1,14,37,33,14,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.035655,0.056267,0.049025,0.102507,0.033983,FALSE,TRUE,FALSE,TRUE,TRUE
298,26498,0.000574504,22500.31483,3997.685171,,,,,,,,0,5,0.097064,10/31/2022,,aptly,499,,2572,0,3,26,41,23,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.088579,0.035655,0.072423,0.062396,0.033983,TRUE,FALSE,FALSE,FALSE,TRUE
297,24672,0.000579547,22697.81829,1974.181713,,,,,,,,0,5,0.101167,10/30/2022,,waltz,498,,2496,0,2,11,29,35,19,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.016713,0.088579,0.062396,0.072423,0.002786,FALSE,TRUE,FALSE,FALSE,FALSE
296,25156,0.000584635,22897.10728,2258.892719,,,,,,,,1,4,0.100811,10/29/2022,,libel,497,,2536,0,3,15,32,32,16,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062396,0.056267,0.01727,0.102507,0.062396,FALSE,TRUE,FALSE,TRUE,FALSE
295,27905,0.00058977,23098.19863,4806.801372,,,,,,,,0,5,0.094463,10/28/2022,,sneak,496,,2636,0,7,28,36,21,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.049025,0.102507,0.088579,0.019499,FALSE,FALSE,TRUE,TRUE,FALSE
294,27609,0.000594951,23301.10932,4307.890684,,,,,,,,1,4,0.094715,10/27/2022,,carry,495,,2615,0,4,22,35,24,12,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.039554,0.088579,0.074652,0.074652,0.033983,FALSE,TRUE,FALSE,FALSE,TRUE
293,30063,0.000600179,23505.8565,6557.143498,,,,,,,,0,5,0.096597,10/26/2022,,flout,494,,2904,0,6,28,37,21,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.018384,0.062396,0.074095,0.035655,0.072423,FALSE,FALSE,TRUE,TRUE,FALSE
292,28953,0.000605454,23712.45751,5240.542487,,,,,,,,1,4,0.097296,10/25/2022,,foggy,493,,2817,0,2,13,35,32,15,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.018384,0.074095,0.028412,0.028412,0.033983,FALSE,TRUE,FALSE,FALSE,TRUE
291,28947,0.000610777,23920.92985,5026.070148,,,,,,,,0,5,0.095623,10/24/2022,,fault,492,,2768,0,7,27,35,22,8,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.018384,0.088579,0.035655,0.062396,0.072423,FALSE,TRUE,TRUE,FALSE,FALSE
290,29279,0.000616148,24131.2912,5147.708803,,,,,,,,1,3,0.10318,10/23/2022,,mummy,491,,3021,0,1,4,14,27,37,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.030641,0.035655,0.030641,0.030641,0.033983,FALSE,TRUE,FALSE,FALSE,TRUE
289,29084,0.000621568,24343.5594,4740.440598,,,,,,,,0,5,0.096617,10/22/2022,,spiel,490,,2810,0,7,32,36,19,6,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.056267,0.102507,0.062396,FALSE,FALSE,TRUE,TRUE,FALSE
288,28637,0.000627037,24557.7525,4079.247496,,,,,,,,0,5,0.097566,10/21/2022,,grove,489,,2794,0,4,18,30,28,17,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.028412,0.074652,0.074095,0.013928,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
287,28741,0.000632555,24773.88872,3967.111282,,,,,,,,0,5,0.096343,10/20/2022,,denim,488,,2769,0,5,29,40,20,5,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.030084,0.102507,0.049025,0.056267,0.030641,FALSE,TRUE,FALSE,TRUE,FALSE
286,28322,0.000638124,24991.98644,3330.013557,,,,,,,,0,5,0.098651,10/19/2022,,quirk,487,,2794,0,3,23,39,24,9,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.002786,0.035655,0.056267,0.074652,0.019499,FALSE,TRUE,TRUE,FALSE,FALSE
285,28612,0.000643743,25212.06427,3399.935734,,,,,,,,0,5,0.098036,10/18/2022,,exist,486,,2805,0,5,24,38,23,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.102507,0.0039,0.056267,0.049025,0.072423,TRUE,FALSE,TRUE,FALSE,FALSE
284,31269,0.000649414,25434.14096,5834.859041,,,,,,,,0,5,0.094822,10/17/2022,,stein,485,,2965,1,12,34,32,16,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.102507,0.056267,0.049025,FALSE,FALSE,TRUE,TRUE,FALSE
283,30459,0.000655136,25658.23548,4800.764515,,,,,,,,0,5,0.0937,10/16/2022,,spade,484,,2854,1,8,29,36,19,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.088579,0.030084,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
282,30403,0.000660909,25884.367,4518.633003,,,,,,,,1,4,0.10272,10/15/2022,,catch,483,,3123,0,7,18,20,15,16,23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.039554,0.088579,0.072423,0.039554,0.038997,FALSE,TRUE,FALSE,FALSE,FALSE
